alim_code;alim_nom_fr;carbo;alim_image_url
26201;Turbot d'élevage, cru;traces;
26205;Bar commun ou loup (Méditerranée), cru, sauvage;traces;
26206;Bar commun ou loup (Méditerranée), cru, élevage;traces;
26208;Baudroie rousse ou Lotte, crue;traces;
26210;Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue;traces;
26213;Hoki, tout lieu de pêche, cru;traces;
26214;Grenadier bleu ou hoki de Nouvelle-Zélande, cru;traces;
26219;Grondin perlon, cru;traces;
26233;Merlu blanc du Cap, surgelé, cru;traces;
26235;Chinchard maigre, cru;traces;
26236;Chinchard gras, cru;traces;
26237;Hareng maigre, cru;traces;
26238;Hareng gras, cru;traces;
26240;Joëls (petits poissons entiers) pour friture, crus;traces;
26241;Empereur, filet, sans peau, cru;traces;
26244;Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…);traces;
27003;Carpe, crue, élevage;traces;
27008;Truite d'élevage, crue;traces;
27009;Truite arc en ciel, crue, élevage;traces;
27010;Perche, crue;traces;
27011;Brochet, cru;traces;
27012;Esturgeon, cru;traces;
27016;Anguille, crue;traces;
27017;Pangasius ou Poisson-chat, cru;traces;
27019;Tilapia, cru;traces;
27021;Truite saumonée, crue;traces;
27023;Lotte de rivière, crue;traces;
27024;Sandre, cru;traces;
27025;Perche du Nil, crue;traces;
26005;Caviar, semi-conserve;traces;
26186;Maquereau, mariné;traces;
12001;Camembert, sans précision;traces;
12003;Fromage à pâte molle et croûte fleurie (type camembert);traces;
12006;Camembert au lait cru;traces;
12008;Fromage à pâte molle et croûte fleurie double crème environ 30% MG;traces;
12009;Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse;traces;
12010;Coulommiers;traces;
12012;Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse;traces;
12013;Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse;traces;
12020;Brie, sans précision;traces;
12021;Brie de Meaux;traces;
12022;Brie de Melun;traces;
12025;Carré de l'Est;traces;
12028;Chaource;traces;
12029;Maroilles laitier;traces;
12030;Maroilles fermier;traces;
12031;Neufchâtel;traces;
12033;Fromage à pâte molle triple crème environ 40% MG;traces;
12035;Fromage à pâte molle et croûte lavée, allégé environ 13% MG;traces;
12036;Maroilles, sans précision;traces;
12037;Livarot;traces;
12038;Époisses;traces;
12039;Munster;traces;
12040;Langres;traces;
12042;Pont l'Évêque;traces;
12045;Reblochon;traces;
12047;Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané);traces;
12049;Saint-Marcellin;traces;
12050;Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée;traces;
12051;Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse);traces;
12052;Saint-Félicien;traces;
12064;Boulette d'Avesne;traces;
12801;Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine);traces;
12802;Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin);traces;
12803;Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure);traces;
12807;Sainte-Maure de Touraine (fromage de chèvre);traces;
12810;Fromage de chèvre demi-sec;traces;
12812;Fromage de chèvre bûche;traces;
12813;Fromage de chèvre bûche, allégé en matière grasse;traces;
12814;Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé;traces;
12815;Fromage de chèvre sec;traces;
12820;Fromage de chèvre à pâte molle et croûte fleurie type camembert;traces;
12824;Fromage de brebis à pâte molle et croûte fleurie;traces;
12830;Chabichou (fromage de chèvre);traces;
12831;Pélardon (fromage de chèvre);traces;
12832;Crottin de chèvre, au lait cru;traces;
12833;Crottin de chèvre, sans précision;traces;
12834;Crottin de Chavignol (fromage de chèvre);traces;
12836;Picodon (fromage de chèvre);traces;
12839;Pouligny Saint-Pierre (fromage de chèvre);traces;
12842;Sainte-Maure (fromage de chèvre);traces;
12845;Selles-sur-Cher (fromage de chèvre);traces;
12846;Chevrot (fromage de chèvre);traces;
12847;Rocamadour (fromage de chèvre);traces;
12848;Valençay (fromage de chèvre);traces;
12500;Roquefort;traces;
12519;Fourme de Montbrison;traces;
12520;Fromage bleu au lait de vache;traces;
12521;Fromage bleu d'Auvergne;traces;
12522;Fourme d'Ambert;traces;
12523;Fromage bleu des Causses;traces;
12524;Gorgonzola;traces;
12526;Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC);traces;
12527;Fromage bleu de Bresse;traces;
12528;Fromage bleu de Bresse allegé environ 15% MG;traces;
12105;Beaufort;traces;
12110;Comté;traces;
12112;Abondance;traces;
12113;Gruyère IGP France;traces;
12114;Gruyère;traces;
12115;Emmental ou emmenthal;traces;
12116;Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse;traces;
12118;Emmental ou emmenthal râpé;traces;
12119;Ossau-Iraty;traces;
12120;Parmesan;traces;
12121;Fontina;traces;
12122;Pecorino;traces;
12123;Grana Padano;traces;
12705;Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG;traces;
12716;Provolone;traces;
12720;Fromage à pâte ferme, enrobé de cire;traces;
12722;Cantal entre-deux;traces;
12723;Cantal, Salers ou Laguiole;traces;
12725;Salers;traces;
12726;Cheddar;traces;
12729;Edam;traces;
12735;Mimolette jeune;traces;
12736;Gouda;traces;
12737;Mimolette demi-vieille;traces;
12738;Mimolette vieille;traces;
12740;Mimolette, sans précision;traces;
12741;Fromage à pâte ferme environ 27% MG type Maasdam;traces;
12742;Mimolette extra-vieille;traces;
12743;Morbier;traces;
12747;Fromage de brebis des Pyrénées;traces;
12748;Saint-Nectaire, laitier;traces;
12749;Raclette (fromage);traces;
12751;Saint-Nectaire, fermier;traces;
12752;Saint-Nectaire, sans précision;traces;
12755;Saint-Paulin (fromage à pâte pressée non cuite demi-ferme);traces;
12758;Tomme ou tome de vache;traces;
12759;Tomme ou tome de montagne ou de Savoie;traces;
12760;Tomme ou tome, allégée en matière grasse, environ 13% MG;traces;
12761;Asiago;traces;
